City name,Airport Code,Airport Name,Country name
108 Mile Ranch,ZMH,108 Mile Ranch International Airport,Canada
Aachen,AAH,Aachen/Merzbruck International Airport,Germany
Aachen,ZIU,Railway International Airport,Germany
Aalborg,AAL,Aalborg International Airport,Denmark
Aalesund,AES,Vigra International Airport,Norway
Aarhus,AAR,Tirstrup International Airport,Denmark
Aarhus Limo,ZBU,Aarhus Limo International Airport,Denmark
Aasiaat,JEG,Aasiaat International Airport,Greenland
Abadan,ABD,Abadan International Airport,Iran
Abaiang,ABF,Abaiang International Airport,Kiribati
Abakan,ABA,Abakan International Airport,Russian Federation
Abau,ABW,Abau International Airport,Papua New Guinea
Abbotsford,YXX,Abbotsford International Airport,Canada
Abbottabad,AAW,Mumbai International Airport,Pakistan
Abbse,EAB,Abbse International Airport,Yemen
Abecher,AEH,Abecher International Airport,Chad
Abemama Atoll,AEA,Abemama Atoll International Airport,Kiribati
Abengourou,OGO,Abengourou International Airport,Cote D'Ivoire (Ivory Coast)
Aberdeen,ABZ,Dyce International Airport,United Kingdom
Aberdeen,APG,Phillips AAF International Airport,United States
Aberdeen,ABR,Municipal International Airport,United States
Abha,AHB,Abha International Airport,Saudi Arabia
Abidjan,ABJ,Felix Houphouet Boigny International Airport,Cote D'Ivoire (Ivory Coast)
Abilene,DYS,Dyess AFB International Airport,United States
Abilene,ABI,Municipal International Airport,United States
Abingdon,ABB,RAF Station International Airport,United Kingdom
Abingdon,ABG,Abingdon International Airport,Australia
Abingdon,VJI,Virginia Highlands International Airport,United States
Aboisso,ABO,Aboisso International Airport,Cote D'Ivoire (Ivory Coast)
Abou Deia,AOD,Abou Deia International Airport,Chad
Abreojos,AJS,Abreojos International Airport,Mexico
Abu Dhabi,AUH,Abu Dhabi Intl,United Arab Emirates
Abu Dhabi,DHF,Al Dhafra Military Apt International Airport,United Arab Emirates
Abu Dhabi,AZI,Bateen International Airport,United Arab Emirates
Abu Musa,AEU,Abu Musa International Airport,Iran
Abu Rudeis,AUE,Abu Rudeis International Airport,Egypt
Abu Simbel,ABS,Abu Simbel International Airport,Egypt
Acandi,ACD,Acandi International Airport,Colombia
Acaricuara,ARF,Acaricuara International Airport,Colombia
Acarigua,AGV,Acarigua International Airport,Venezuela
Accra,ACC,Kotoka International Airport,Ghana
Achinsk,ACS,Achinsk International Airport,Russian Federation
Achutupo,ACU,Achutupo International Airport,Panama
Ada,ADT,Ada International Airport,United States
Adak Island,ADK,Adak Island NS International Airport,United States
Adana,ADA,Adana International Airport,Turkey
Adana,UAB,Adana-Incirlik Airbase International Airport,Turkey
Ad-Dabbah,AAD,Ad-Dabbah International Airport,Sudan
Addis Ababa,ADD,Bole International Airport,Ethiopia
Adelaide,ADL,Adelaide International Airport,Australia
Adelaide,XHX,Adelaide Keswick Rail International Airport,Australia
Adiyaman,ADF,Adiyaman International Airport,Turkey
Adler/Sochi,AER,Adler/Sochi International Airport,Russian Federation
Adrar,AZR,Adrar International Airport,Algeria
Adrian,ADG,Lenawee County International Airport,United States
Aek Godang,AEG,Aek Godang International Airport,Indonesia
Afore,AFR,Afore International Airport,Papua New Guinea
Afton,AFO,Municipal International Airport,United States
Afutara,AFT,Afutara Aerodrome International Airport,Solomon Islands
Afyon,AFY,Afyon International Airport,Turkey
Agades,AJY,Agades International Airport,Niger
Agadir,AGA,Agadir Almassira International Airport,Morocco
Agartala,IXA,Singerbhil International Airport,India
Agatti Island,AGX,Agatti Island International Airport,India
Agaun,AUP,Agaun International Airport,Papua New Guinea
Agen,AGF,La Garenne International Airport,France
Aggeneys,AGZ,Aggeneys International Airport,South Africa
Aghajari,AKW,Aghajari International Airport,Iran
Agnew,AGW,Agnew International Airport,Australia
Agra,AGR,Kheria International Airport,India
Agri,AJI,Ağri International Airport,Turkey
Agrinion,AGQ,Agrinion International Airport,Greece
Aguaclara,ACL,Aguaclara International Airport,Colombia
Aguadilla,BQN,Borinquen International Airport,Puerto Rico
Aguascalientes,AGU,Aguascalients International Airport,Mexico
Aguni,AGJ,Aguni International Airport,Japan
Ahe,AHE,Ahe Airport,French Polynesia
Ahmed Al Jaber,XIJ,Ahmed Al Jaber International Airport,Kuwait
Ahmedabad,AMD,Ahmedabad International Airport,India
Ahuas,AHS,Ahuas International Airport,Honduras
Ahwaz,AWZ,Ahwaz International Airport,Iran
Aiambak,AIH,Aiambak International Airport,Papua New Guinea
Aiken,AIK,Municipal International Airport,United States
Ailigandi,AIL,Ailigandi International Airport,Panama
Ailinglapalap Island,AIP,Ailinglapalap Island International Airport,Marshall Islands
Ailuk Island,AIM,Ailuk Island International Airport,Marshall Islands
Ainsworth,ANW,Ainsworth International Airport,United States
Aiome,AIE,Aiome International Airport,Papua New Guinea
Aioun El Atrouss,AEO,Aioun El Atrouss International Airport,Mauritania
Airlie Beach,WSY,Whitsunday Airstrip International Airport,Australia
Airok,AIC,Airok International Airport,Marshall Islands
Aishalton,AHL,Aishalton International Airport,Guyana
Aitape,ATP,Airstrip International Airport,Papua New Guinea
Aitape,TAJ,Tadji International Airport,Papua New Guinea
Aitutaki,AIT,Aitutaki International Airport,Cook Islands
Aix La Chapelle,XHJ,Railway Station International Airport,Germany
Aiyura,AYU,Aiyura International Airport,Papua New Guinea
Aizawl,AJL,Aizawl International Airport,India
Ajaccio,AJA,Campo Dell Oro International Airport,France
Akhiok,AKK,Akhiok SPB International Airport,United States
Akiachak,KKI,Spb International Airport,United States
Akiak,AKI,Akiak International Airport,United States
Akieni,AKE,Akieni International Airport,Gabon
Akita,AXT,Akita International Airport,Japan
Akjoujt,AJJ,Akjoujt International Airport,Mauritania
Aklavik,LAK,Aklavik International Airport,Canada
Akola,AKD,Akola International Airport,India
Akron,AKO,Washington Co International Airport,United States
Akron/Canton,CAK,Akron/Canton Regional International Airport,United States
Akron/Canton,AKC,Fulton International,United States
Akrotiri,AKT,Akrotiri RAF International Airport,Cyprus
Aksu,AKU,Aksu International Airport,China
Aktau,SCO,Aktau International Airport,Kazakhstan
Aktyubinsk,AKX,Aktyubinsk International Airport,Kazakhstan
Akulivik,AKV,Akulivik International Airport,Canada
Akure,AKR,Akure International Airport,Nigeria
Akureyri,AEY,Akureyri International Airport,Iceland
Akutan,KQA,Akutan International Airport,United States
Al,XXR,Al Railway International Airport,Norway
Al Ain,AAN,Al Ain International Airport,United Arab Emirates
Al Arish,AAC,Al Arish International Airport,Egypt
Al Ghaydah,AAY,Al Ghaydah International Airport,Yemen
Al Hoceima,AHU,Charif Al Idrissi International Airport,Morocco
Al Kharj,AKH,Prince Sultan Air Base International Airport,Saudi Arabia
Al Koude,WWG,Al Koude International Airport,Oman
Al Thaurah,SOR,Al Thaurah International Airport,Syria
Al Udeid,XJD,Al Udeid International Airport,Qatar
Alah,AAV,Alah International Airport,Philippines
Alahsa,HOF,Alahsa International Airport,Saudi Arabia
Alakanuk,AUK,Alakanuk International Airport,United States
Alameda,NGZ,NAS International Airport,United States
Alamogordo,HMN,Holloman AFB International Airport,United States
Alamogordo,ALM,Municipal International Airport,United States
Alamos,XAL,Alamos International Airport,Mexico
Alamosa,ALS,Municipal International Airport,United States
Albacete,ABC,Los Llanos International Airport,Spain
Al-Baha,ABT,Al-Aqiq International Airport,Saudi Arabia
Albany,NAB,Albany NAS International Airport,United States
Albany,ABY,Dougherty County International Airport,United States
Albany,ALB,Albany International,United States
Albany,ZLY,Albany NY Rail International Airport,United States
Albany,CVO,Albany International Airport,United States
Albany,ALH,Albany International Airport,Australia
Albenga,ALL,Albenga International Airport,Italy
Albert Lea,AEL,Albert Lea International Airport,United States
Albi,LBI,Le Sequestre International Airport,France
Albina,ABN,Albina International Airport,Suriname
Albuq,BUK,Albuq International Airport,Yemen
Albuquerque,ABQ,Albuquerque International,United States
Albury,ABX,Albury International Airport,Australia
Alconbury,AYH,RAF Station International Airport,United Kingdom
Aldan,ADH,Aldan International Airport,Russian Federation
Alderney,ACI,The Blaye International Airport,United Kingdom
Aleg,LEG,Aleg International Airport,Mauritania
Alegrete,ALQ,Federal International Airport,Brazil
Aleknagik,WKK,Aleknagik International Airport,United States
Aleneva,AED,Aleneva International Airport,United States
Alenquer,ALT,Alenquer International Airport,Brazil
Aleppo,ALP,Nejrab International Airport,Syria
Alert,YLT,Alert International Airport,Canada
Alert Bay,YAL,Alert Bay International Airport,Canada
Alerta,ALD,Alerta International Airport,Peru
Alexander Bay,ALJ,Kortdoorn International Airport,South Africa
Alexander City,ALX,Thomas C Russell Fld International Airport,United States
Alexandra,ALR,Alexandra International Airport,New Zealand (Aotearoa)
Alexandria,HBE,Borg El Arab International Airport,Egypt
Alexandria,ALY,El Nohza International Airport,Egypt
Alexandria,AEX,Alexandria Internation International Airport,United States
Alexandria,ESF,Esler Field International Airport,United States
Alexandria,AXN,Alexandria International Airport,United States
Alexandria,AXL,Alexandria International Airport,Australia
Alexandria Bay,AXB,Alexandria Bay International Airport,United States
Alexandroupolis,AXD,Demokritos Airport,Greece
Al-Fujairah,FJR,Fujairah Intl Arpt,United Arab Emirates
Algeciras,AEI,Algeciras International Airport,Spain
Alghero,AHO,Fertilia International Airport,Italy
Algiers,ALG,Houari Boumediene International Airport,Algeria
Algona,AXG,Algona International Airport,United States
Alicante,ALC,Alicante International Airport,Spain
Alice Arm,ZAA,Alice Arm International Airport,Canada
Alice Springs,ASP,Alice Springs International Airport,Australia
Alice Springs,XHW,Alice Springs Railway International Airport,Australia
Aliceville,AIV,George Downer International Airport,United States
Alisabieh,AII,Alisabieh International Airport,Djibouti
Alitak,ALZ,Alitak SPB International Airport,United States
Aljouf,AJO,Aljouf International Airport,Yemen
Allahabad,IXD,Bamrauli International Airport,India
Allakaket,AET,Allakaket International Airport,United States
Alldays,ADY,Alldays International Airport,South Africa
Alliance,AIA,Alliance International Airport,United States
Alluitsup Paa,LLU,Alluitsup Paa International Airport,Greenland
Alma,AMN,Gratiot Community International Airport,United States
Alma,YTF,Alma International Airport,Canada
Almaty,ALA,Almaty International Airport,Kazakhstan
Almenara,AMJ,Almenara International Airport,Brazil
Almeria,LEI,Almeria International Airport,Spain
Along,IXV,Along International Airport,India
Alor Island,ARD,Alor Island International Airport,Indonesia
Alor Setar,AOR,Alor Setar International Airport,Malaysia
Alotau,GUR,Gurney International Airport,Papua New Guinea
Alowe,AWE,Alowe International Airport,Gabon
Alpe D Huez,AHZ,Alpe D Huez International Airport,France
Alpena,APN,Alpena County Regional International Airport,United States
Alpha,ABH,Alpha International Airport,Australia
Alpine,ALE,Alpine International Airport,United States
Alroy Downs,AYD,Alroy Downs International Airport,Australia
Alta,ALF,Alta International Airport,Norway
Alta Floresta,AFL,Alta Floresta International Airport,Brazil
Alta Lake,YAE,Alta Lake International Airport,Canada
Altai,LTI,Altai International Airport,Mongolia
Altamira,ATM,Altamira International Airport,Brazil
Altay,AAT,Altay International Airport,China
Altenburg,AOC,Altenburg Nobitz International Airport,Germany
Altenrhein,ACH,Altenrhein International Airport,Switzerland
Alto Molocue,AME,Alto Molocue International Airport,Mozambique
Alto Palena,WAP,Alto Palena International Airport,Chile
Alto Parnaiba,APY,Alto Parnaiba International Airport,Brazil
Alto Rio Senguerr,ARR,Alto Rio Senguerr International Airport,Argentina
Alton,ALN,Alton International Airport,United States
Alton Downs,AWN,Alton Downs International Airport,Australia
Altus,LTS,Altus AFB International Airport,United States
Altus,AXS,Municipal International Airport,United States
Alula,ALU,Alula International Airport,Somalia
Alvdal,XJA,Railway International Airport,Norway
Alvesta,XXA,Alvesta International Airport,Sweden
Alyeska,AQY,Alyeska International Airport,United States
Am Timan,AMC,Am Timan International Airport,Guam
Ama,AMF,Ama International Airport,Papua New Guinea
Amahai,AHI,Amahai International Airport,Indonesia
Amalfi,AFI,Amalfi International Airport,Colombia
Amami O Shima,ASJ,Amami O Shima International Airport,Japan
Amanab,AMU,Amanab International Airport,Papua New Guinea
Amarillo,TDW,Tradewind International Airport,United States
Amata,AMT,Amata International Airport,Australia
Amazon Bay,AZB,Amazon Bay International Airport,Papua New Guinea
Ambanja,IVA,Ambanja International Airport,Madagascar
Ambato,ATF,Chachoan International Airport,Ecuador
Ambatolahy,AHY,Ambatolahy International Airport,Madagascar
Ambatomainty,AMY,Ambatomainty International Airport,Madagascar
Ambatondrazaka,WAM,Ambatondrazaka International Airport,Madagascar
Ambilobe,AMB,Ambilobe International Airport,Madagascar
Ambler,ABL,Ambler International Airport,United States
Amboin,AMG,Amboin International Airport,Papua New Guinea
Ambon,AMQ,Pattimura International Airport,Indonesia
Amboseli,ASV,Amboseli International Airport,Kenya
Ambriz,AZZ,Ambriz International Airport,Angola
Ambunti,AUJ,Ambunti International Airport,Papua New Guinea
Amchitka,AHT,Amchitka International Airport,United States
Amderma,AMV,Amderma International Airport,Russian Federation
American River,RCN,American River International Airport,Australia
Amery,AHH,Municipal International Airport,United States
Ames,AMW,Ames International Airport,United States
Amityville,AYZ,Zahns International Airport,United States
Amman,ADJ,Civil - Marka Airport,Jordan
Amman,AMM,Queen Alia Intl,Jordan
Ammaroo,AMX,Ammaroo International Airport,Australia
Amook,AOS,Amook International Airport,United States
Amos,YEY,Amos International Airport,Canada
Ampanihy,AMP,Ampanihy International Airport,Madagascar
Ampara,ADP,Ampara International Airport,Sri Lanka
Ampara,AFK,Kondavattavan Tank International Airport,Sri Lanka
Amritsar,ATQ,Raja Sansi International Airport,India
Haarlemmermeer,AMS,Amsterdam-Schiphol International Airport,The Netherlands
An Shun,AVA,An Shun/Huang Guo Shu International Airport,China
Anaa,AAA,Anaa International Airport,French Polynesia
Anaco,AAO,Anaco International Airport,Venezuela
Anacortes,OTS,Anacortes International Airport,United States
Anadyr,DYR,Anadyr International Airport,Russian Federation
Anaheim,ANA,Anaheim International Airport,United States
Anahim Lake,YAA,Anahim Lake International Airport,Canada
Anaktuvuk,AKP,Anaktuvuk International Airport,United States
Analalava,HVA,Analalava International Airport,Madagascar
Anapa,AAQ,Anapa International Airport,Russian Federation
Anapolis,APS,Anapolis International Airport,Brazil
Anchorage,EDF,Elmendorf AFB International Airport,United States
Anchorage,ANC,Ted Stevens Anchorage Int'l International Airport,United States
Anchorage,MRI,Merrill Field International Airport,United States
Ancona,AOI,Falconara International Airport,Italy
Ancud,ZUD,Ancud International Airport,Chile
Andahuaylas,ANS,Andahuaylas International Airport,Peru
Andakombe,ADC,Andakombe International Airport,Papua New Guinea
Andamooka,ADO,Andamooka International Airport,Australia
Andapa,ZWA,Andapa International Airport,Madagascar
Andenes,ANX,Andenes International Airport,Norway
Anderson,AID,Municipal International Airport,United States
Anderson,AND,Anderson International Airport,United States
Andes,ADN,Andes International Airport,Colombia
Andizhan,AZN,Andizhan International Airport,Uzbekistan
Andover,ADV,Andover International Airport,United Kingdom
Andrews,ADR,Andrews International Airport,United States
Andriamena,WAD,Andriamena International Airport,Madagascar
Andros Town,ASD,Andros Town International Airport,Bahamas
Andulo,ANL,Andulo International Airport,Angola
Anegada,NGD,Anegada International Airport,Virgin Islands (British)
Aneityum,AUY,Aneityum International Airport,Vanuatu
Angel Fire,AXX,Angel Fire International Airport,United States
Angelholm/Helsingborg,AGH,Angelholm International Airport,Sweden
Angelholm/Helsingborg,XYQ,Angelholm Railway Svc. International Airport,Sweden
Angelholm/Helsingborg,XYH,Helsingborg Railway International Airport,Sweden
Angers,ANE,Marce International Airport,France
Anggi,AGD,Anggi International Airport,Indonesia
Angling Lake,YAX,Angling Lake International Airport,Canada
Angoche,ANO,Angoche International Airport,Mozambique
Angola,ANQ,Tri-State Steuben Cty International Airport,United States
Angoon,AGN,Angoon International Airport,United States
Angoram,AGG,Angoram International Airport,Papua New Guinea
Angouleme,ANG,Brie-Champniers International Airport,France
Anguganak,AKG,Anguganak International Airport,Papua New Guinea
Anguilla,AXA,Wallblake International Airport,Anguilla
Anguilla,RFK,Rollang Field International Airport,United States
Angus Downs,ANZ,Angus Downs International Airport,Australia
Aniak,ANI,Aniak International Airport,United States
Anita Bay,AIB,Anita Bay International Airport,United States
Aniwa,AWD,Aniwa International Airport,Vanuatu
Anjouan,AJN,Ouani International Airport,Comoros
Ankang,AKA,Ankang International Airport,China
Ankara,ESB,Esenboga International Airport,Turkey
Ankara,ANK,Etimesgut International Airport,Turkey
Ankavandra,JVA,Ankavandra International Airport,Madagascar
Ankazoabo,WAK,Ankazoabo International Airport,Madagascar
Ankokoambo,NKO,Ankokoambo International Airport,Madagascar
Ankorefo,WOR,Moramba International Airport,Madagascar
Ann Arbor,ARB,Municipal International Airport,United States
Annaba,AAE,Les Salines International Airport,Algeria
Annai,NAI,Annai International Airport,Guyana
Annanberg,AOB,Annanberg International Airport,Papua New Guinea
Annapolis,ANP,Lee International Airport,United States
Annecy,NCY,Annecy-Meythe International Airport,France
Annette Island,ANN,Annette Island International Airport,United States
Anniston,ANB,County Arpt,United States
Anniston,RLI,Reilly AHP International Airport,United States
Anqing,AQG,Anqing International Airport,China
Anshan,AOG,Anshan International Airport,China
Anta,ATA,Anta International Airport,Peru
Antalaha,ANM,Antsirabato International Airport,Madagascar
Antalya,AYT,Antalya International Airport,Turkey
Antananarivo,TNR,Antananarivo International Airport,Madagascar
Anthony,ANY,Anthony International Airport,United States
Anthony Lagoon,AYL,Anthony Lagoon International Airport,Australia
Antigua,ANU,V.C. Bird Intl,Antigua and Barbuda
Antique,EUQ,Evelio Javier International Airport,Philippines
Antlers,ATE,Antlers International Airport,United States
Antofagasta,ANF,Cerro Moreno International Airport,Chile
Antsalova,WAQ,Antsalova International Airport,Madagascar
Antsirabe,ATJ,Antsirabe International Airport,Madagascar
Antsiranana,DIE,Antsiranana/Arrachart International Airport,Madagascar
Antsohihy,WAI,Antsohihy International Airport,Madagascar
Antwerp,ZYZ,Berchem Railway Stn. International Airport,Belgium
Antwerp,ANR,Deurne International Airport,Belgium
Anuha Island Resort,ANH,Anuha Island Resort International Airport,Solomon Islands
Anuradhapura,ACJ,Anuradhapura International Airport,Sri Lanka
Anvik,ANV,Anvik International Airport,United States
Anyang,AYN,Anyang International Airport,China
Aomori,AOJ,Aomori International Airport,Japan
Aosta,AOT,Corrado Gex International Airport,Italy
Apalachicola,AAF,Municipal International Airport,United States
Apalapsili,AAS,Apalapsili International Airport,Indonesia
Apartado,APO,Apartado International Airport,Colombia
Apataki,APK,Apataki International Airport,French Polynesia
Apatzingan,AZG,Apatzingan International Airport,Mexico
Apia,FGI,Fagali I International Airport,Samoa
Apia,APW,Faleolo International Airport,Samoa
Apiay,API,Apiay International Airport,Colombia
Apolo,APB,Apolo International Airport,Bolivia
Apple Valley,APV,Apple Valley International Airport,United States
Appleton,ATW,Outagamie County International Airport,United States
April River,APR,April River International Airport,Papua New Guinea
Apucarana,APU,Apucarana International Airport,Brazil
Aqaba,AQJ,King Hussein Intl,Jordan
Araak,AJK,Araak International Airport,Iran
Aracaju,AJU,Aracaju International Airport,Brazil
Aracatuba,ARU,Aracatuba International Airport,Brazil
Arad,ARW,Arad International Airport,Romania
Aragarcas,ARS,Aragarcas International Airport,Brazil
Aragip,ARP,Aragip International Airport,Papua New Guinea
Araguaina,AUX,Araguaina International Airport,Brazil
Aramac,AXC,Aramac International Airport,Australia
Aranuka,AAK,Aranuka International Airport,Kiribati
Arapahoe,AHF,Municipal International Airport,United States
Arapiraca,APQ,Arapiraca International Airport,Brazil
Arapongas,APX,Arapongas International Airport,Brazil
Arapoti,AAG,Arapoti International Airport,Brazil
Arar,RAE,Arar International Airport,Saudi Arabia
Araracuara,ACR,Araracuara International Airport,Colombia
Araraquara,AQA,Manaus International Airport,Brazil
Ararat,ARY,Ararat International Airport,Australia
Arauca,AUC,Arauca International Airport,Colombia
Arauquita,ARQ,Arauquita International Airport,Colombia
Arawa,RAW,Arawa International Airport,Papua New Guinea
Araxa,AAX,Araxa International Airport,Brazil
Arba Mintch,AMH,Arba Mintch International Airport,Ethiopia
Arboletas,ARO,Arboletas International Airport,Colombia
Arcata,ACV,Arcata International Airport,United States
Arctic Bay,YAB,Arctic Bay International Airport,Canada
Arctic Village,ARC,Arctic Village International Airport,United States
Ardabil,ADU,Ardabil International Airport,Iran
Ardmore,AMZ,Ardmore International Airport,New Zealand (Aotearoa)
Ardmore,AHD,Downtown International Airport,United States
Ardmore,ADM,Ardmore Municipal Arpt,United States
Arecibo,ARE,Arecibo International Airport,Puerto Rico
Arequipa,AQP,Rodriguez Ballon International Airport,Peru
Argentia,NWP,NS International Airport,Canada
Argyle,GYL,Argyle International Airport,Australia
Argyle Downs,AGY,Argyle Downs International Airport,Australia
Aribinda,XAR,Aribinda International Airport,Burkina Faso
Arica,ARI,Chacalluta International Airport,Chile
Arica,ACM,Arica International Airport,Colombia
Aripuana,AIR,Aripuana International Airport,Brazil
Ariquemes,AQM,Ariquemes International Airport,Brazil
Arkalyk,AYK,Arkalyk International Airport,Kazakhstan
Arkhangelsk,ARH,Arkhangelsk International Airport,Russian Federation
Arlit,RLT,Arlit International Airport,Niger
Arly,ARL,Arly International Airport,Burkina Faso
Armenia,AXM,El Eden International Airport,Colombia
Armidale,ARM,Armidale International Airport,Australia
Armstrong,YYW,Armstrong International Airport,Canada
Arna,XHT,Railway International Airport,Norway
Arnes,YNR,Arnes International Airport,Canada
Arno,AMR,Arno International Airport,Marshall Islands
Aroa,AOA,Aroa International Airport,Papua New Guinea
Arona,AON,Arona International Airport,Papua New Guinea
Arona,RNA,Ulawa Airport,Solomon Islands
Arorae Island,AIS,Arorae Island International Airport,Kiribati
Arrabury,AAB,Arrabury International Airport,Australia
Arraias,AAI,Arraias International Airport,Brazil
Arso,ARJ,Arso International Airport,Indonesia
Arsuk,JRK,Arsuk International Airport,Greenland
Artesia,ATS,Artesia International Airport,United States
Artigas,ATI,Artigas International Airport,Uruguay
Arua,RUA,Arua International Airport,Uganda
Aruba,AUA,Reina Beatrix International Airport,Aruba
Aruja,ZFU,Aruja International Airport,Brazil
Arusha,ARK,Arusha International Airport,Tanzania
Arutua,AXR,Arutua International Airport,French Polynesia
Arvaikheer,AVK,Arvaikheer International Airport,Mongolia
Arviat,YEK,Arviat International Airport,Canada
Arvidsjaur,AJR,Arvidsjaur International Airport,Sweden
Asahikawa,AKJ,Asahikawa International Airport,Japan
Asaloyeh,YEH,Asaloyeh International Airport,Iran
Asapa,APP,Asapa International Airport,Papua New Guinea
Asau,AAU,Asau International Airport,Samoa
Asbestos Hill,YAF,Asbestos Hill International Airport,Canada
"Neptune, NJ",ARX,Asbury Park International Airport,United States
Ascension,ASC,Ascension International Airport,Bolivia
Ascona,ACO,Ascona International Airport,Switzerland
Aseki,AEK,Aseki International Airport,Papua New Guinea
Asela,ALK,Asela International Airport,Ethiopia
Ashburton,ASG,Ashburton International Airport,New Zealand (Aotearoa)
Ashcroft,YZA,Ashcroft International Airport,Canada
Ashgabat,ASB,Ashgabat International Airport,Turkmenistan
Ashland,ASX,Ashland International Airport,United States
Ashley,ASY,Ashley International Airport,United States
Asirim,ASZ,Asirim International Airport,Papua New Guinea
Asmara,ASM,Asmara International,Ethiopia
Asosa,ASO,Asosa International Airport,Ethiopia
Aspen,ASE,Aspen International Airport,United States
Assab,ASA,Assab International Airport,Ethiopia
Assis,AIF,Assis International Airport,Brazil
Assiut,ATZ,Assiut International Airport,Egypt
Astana,TSE,Astana International Airport,Kazakhstan
Astoria,AST,Astoria International Airport,United States
Astrakhan,ASF,Astrakhan International Airport,Russian Federation
Astraksetra,AKQ,Gunung Batin International Airport,Indonesia
Asturias,OVD,Asturias International Airport,Spain
Astypalaia Island,JTY,Astypalaia International Airport,Greece
Asuncion,ASU,Silvio Pettirossi International Airport,Paraguay
Aswan,ASW,Aswan International Airport,Egypt
Atambua,ABU,Atambua International Airport,Indonesia
Ataq,AXK,Ataq International Airport,Yemen
Atar,ATR,Mouakchott International Airport,Mauritania
Atauro,AUT,Atauro International Airport,Indonesia
Atbara,ATB,Atbara International Airport,Sudan
Atbasar,ATX,Atbasar International Airport,Kazakhstan
Athens,AHN,Athens International Airport,United States
Athens,ATH,Eleftherios Venizelos International Airport,Greece
Athens,HEW,Hellinikon (Closed) International Airport,Greece
Athens,ATO,Ohio University International Airport,United States
Athens,MMI,McMinn County International Airport,United States
Ati,ATV,Ati International Airport,Chad
Atikokan,YIB,Atikokan International Airport,Canada
Atiu Island,AIU,Atiu Island International Airport,Cook Islands
Atka,AKB,Atka International Airport,United States
Atkamba,ABP,Atkamba International Airport,Papua New Guinea
Atlanta,JAO,Beaver Ruin International Airport,United States
Atlanta,PDK,De Kalb/Peachtree International Airport,United States
Atlanta,FTY,Fulton County International Airport,United States
Atlanta,JGL,Galleria International Airport,United States
Atlanta,ATL,Hartsfield-Jackson Atlanta Int International Airport,United States
Atlanta,JAJ,Perimeter Mall International Airport,United States
Atlanta,JAE,Technology Park International Airport,United States
Atlantic,AIO,Municipal International Airport,United States
Atlantic City,ACY,Atlantic City Intl,United States
Atlantic City,AIY,Bader Field International Airport,United States
Atlantic City,JSL,Steel Pier Hlpt International Airport,United States
Atmautluak,ATT,Atmautluak International Airport,United States
Atoifi,ATD,Atoifi International Airport,Solomon Islands
Atqasuk,ATK,Atqasuk International Airport,United States
Atsugi,NJA,NAS International Airport,Japan
Attawapiskat,YAT,Attawapiskat International Airport,Canada
Attock,ATG,Attock International Airport,Pakistan
Attopeu,AOU,Attopeu International Airport,Laos
Attu Island,ATU,Casco Cove International Airport,United States
Atuona,AUQ,Atuona International Airport,French Polynesia
Atyrau,GUW,Atyrau International Airport,Kazakhstan
Aua Island,AUI,Aua Island International Airport,Papua New Guinea
Aubagne,JAH,Agora Helipad International Airport,France
Aubenas,OBS,Vals-Lanas International Airport,France
Auburn,AUO,Auburn-Opelika International Airport,United States
Auburn,AUN,Auburn International Airport,United States
Auckland,AKL,Auckland International,New Zealand (aotearoa)
Auckland,MHB,Mechanics Bay International Airport,New Zealand (Aotearoa)
Aue,ZAU,Sachsen Railway Stn. International Airport,Germany
Augusta,AGS,Bush Field International Airport,United States
Augusta,DNL,Daniel Field International Airport,United States
Augusta,AUG,Augusta International Airport,United States
Augustus Downs,AUD,Augustus Downs International Airport,Australia
Aumo,AUV,Aumo International Airport,Papua New Guinea
Aupaluk,YPJ,Aupaluk International Airport,Canada
Aur Island,AUL,Aur Island International Airport,Marshall Islands
Aurangabad,IXU,Chikkalthana International Airport,India
Aurillac,AUR,Aurillac International Airport,France
Aurora,AUZ,Municipal Airport,United States
Aurukun Mission,AUU,Aurukun Mission International Airport,Australia
Austin,AUM,Austin International Airport,United States
Austin,ASQ,Austin International Airport,United States
Austin,MMR,Camp Maybry AHP International Airport,United States
Austral Downs,AWP,Austral Downs International Airport,Australia
Auvergne,AVG,Auvergne International Airport,Australia
Auxerre,AUF,Auxerre Branches International Airport,France
Avesta Krylbo,XYP,Avesta Krylbo International Airport,Sweden
Aviano,AVB,Aviano International Airport,Italy
Avignon,XZN,Avignon Railway International Airport,France
Avignon,AVN,Avignon-Caum International Airport,France
Avon Park,AVO,Municipal International Airport,United States
Avoriaz,AVF,Avoriaz International Airport,France
Avu Avu,AVU,Avu Avu International Airport,Solomon Islands
Awaba,AWB,Awaba International Airport,Papua New Guinea
Awar,AWR,Awar International Airport,Papua New Guinea
Awaradam,AAJ,Cayana Airstrip International Airport,Suriname
Awareh,AWH,Awareh International Airport,Ethiopia
Awassa,AWA,Awassa International Airport,Ethiopia
Axum,AXU,Axum International Airport,Ethiopia
Ayacucho,AYC,Ayacucho International Airport,Colombia
Ayacucho,AYP,Yanamilla International Airport,Peru
Ayapel,AYA,Ayapel International Airport,Colombia
Ayawasi,AYW,Ayawasi International Airport,Indonesia
Ayers Rock,AYQ,Connellan International Airport,Australia
Ayolas,AYO,Ayolas International Airport,Paraguay
Ayr,AYR,Ayr International Airport,Australia
Ba,BFJ,Ba International Airport,Fiji
